"year","filename","port","species","landings_lb","landings_kg","landings_mt","value_usd"
2000,"landings00_table16pub.pdf","Fields Landing","Squid, market",48,21.7724365434853,0.0217724365434853,0
2000,"landings00_table16pub.pdf","Fields Landing","Mackerel, jack",6,2.72155456793566,0.00272155456793566,0
2000,"landings00_table16pub.pdf","Fields Landing","Mackerel, Pacific",59,26.7619532513673,0.0267619532513673,0
2000,"landings00_table16pub.pdf","Fields Landing","Fish, unspecified",10138,4598.52003495528,4.59852003495528,0
2000,"landings00_table16pub.pdf","Fields Landing","Shark, spiny dogfish",525,238.13602469437,0.23813602469437,0
2000,"landings00_table16pub.pdf","Fields Landing","Port Totals:",4232662,1919903.43343795,1919.90343343795,1855556
2000,"landings00_table16pub.pdf","Trinidad","Crab, Dungeness",476963,216346.805231049,216.346805231049,970967
2000,"landings00_table16pub.pdf","Trinidad","Salmon, Chinook",2366,1073.19968462263,1.07319968462263,4672
2000,"landings00_table16pub.pdf","Trinidad","Rockfish, black",2451,1111.75504100172,1.11175504100172,1967
2000,"landings00_table16pub.pdf","Trinidad","Lingcod",1267,574.701606262413,0.574701606262413,1591
2000,"landings00_table16pub.pdf","Trinidad","Rockfish, copper",280,127.005879836997,0.127005879836997,768
2000,"landings00_table16pub.pdf","Trinidad","Cabezon",206,93.4400401657909,0.0934400401657909,250
2000,"landings00_table16pub.pdf","Trinidad","Rockfish, unspecified",234,106.140628149491,0.106140628149491,187
2000,"landings00_table16pub.pdf","Trinidad","Rockfish, quillback",100,45.3592427989276,0.0453592427989276,116
2000,"landings00_table16pub.pdf","Trinidad","Rockfish, brown",57,25.8547683953887,0.0258547683953887,114
2000,"landings00_table16pub.pdf","Trinidad","Rockfish, yelloweye",65,29.483507819303,0.029483507819303,106
2000,"landings00_table16pub.pdf","Trinidad","Rockfish, vermilion",59,26.7619532513673,0.0267619532513673,80
2000,"landings00_table16pub.pdf","Trinidad","Rockfish, China",41,18.5972895475603,0.0185972895475603,41
2000,"landings00_table16pub.pdf","Trinidad","Rockfish, canary",24,10.8862182717426,0.0108862182717426,36
2000,"landings00_table16pub.pdf","Trinidad","Greenling, kelp",6,2.72155456793566,0.00272155456793566,12
2000,"landings00_table16pub.pdf","Trinidad","Smelt, night",38,17.2365122635925,0.0172365122635925,11
2000,"landings00_table16pub.pdf","Trinidad","Rockfish, gopher",0,0,0,0
2000,"landings00_table16pub.pdf","Trinidad","Port Totals:",484155,219609.041973148,219.609041973148,980917
