Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Sole, rock",151,"3,614",,"15,790","1,044",150,,13,
"",$56,"$1,345",,"$6,521",$412,$64,,$8,
"Sole, sand","36,732",283,152,"64,018","4,806","3,905",22,,
"","$26,762",$204,$131,"$54,807","$3,139","$3,073",$32,,
"Sole, unspecified",,,115,109,"1,676","1,135","7,150","37,685",132
"",,,$115,$112,"$1,470","$1,346","$3,854","$19,952",$126
Splittail,,,,,340,,,,
"",,,,,$398,,,,
Stingray,,,,,,,,"2,111",
"",,,,,,,,$477,
"Surfperch, barred",16,46,"1,791",53,,"25,934",197,,
"",$18,$46,$872,$245,,"$44,327",$203,,
"Surfperch, black",,,,,,,,303,
"",,,,,,,,$76,
"Surfperch, calico",67,,,,,,,,
"",$43,,,,,,,,
"Surfperch, pile","1,461",,,,,,,,
"","$1,052",,,,,,,,
"Surfperch, rainbow",,2,30,,2,17,5,,
"",,$2,$15,,$2,$10,$5,,
"Surfperch, redtail","31,987",181,,5,,56,,,
"","$35,156",$185,,$2,,$62,,,
"Surfperch, rubberlip",,4,,31,,,86,141,
"",,$4,,$38,,,$97,$138,
"Surfperch, shiner",,,34,,,1,,,
"",,,$34,,,$2,,,
"Surfperch, unspecified",659,21,578,"3,291",39,"6,916",171,367,
"",$591,$27,$754,"$4,455",$30,"$11,652",$187,$284,
"Surfperch, walleye","2,011",,,,,,,,
"","$1,608",,,,,,,,
"Surfperch, white",,,,,,,,12,
"",,,,,,,,$4,
Swordfish,"51,480","13,429","5,997","118,093","335,736","36,807","407,588","830,385","405,446"
"","$163,020","$48,738","$19,897","$355,024","$1,016,157","$102,564","$849,319","$2,102,992","$1,414,765"
Table 5k (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Thornyhead, longspine","2,027,811","809,578","209,958","328,432","530,348","672,016","27,127",,"2,354"
"","$1,488,795","$647,736","$134,906","$243,343","$472,174","$457,088","$81,382",,"$1,771"
"Thornyhead, shortspine","551,198","256,022","64,219","108,820","118,228","191,938","21,461",644,"2,702"
"","$523,896","$254,830","$59,972","$111,942","$112,540","$162,313","$54,993",$613,"$2,573"
Thornyheads (unspecified),"32,456","11,309","12,452","15,869","66,394","6,773","28,049","96,024","1,986"
"","$25,986","$12,064","$7,368","$16,037","$66,146","$4,630","$52,372","$186,513","$1,840"
"Tomcod, Pacific","11,467","7,111",,87,,,,,
"","$1,180",$711,,$52,,,,,
Topsmelt,,,,31,,,,102,
"",,,,$23,,,,$72,
Triggerfish,7,,,,,,4,,
"",$4,,,,,,$8,,
"Tuna, albacore","2,122,539","167,870","171,559","817,042","2,509,012","401,403","32,449","1,030,974","145,404"
"","$1,671,180","$135,573","$125,814","$660,045","$1,941,873","$285,908","$29,126","$823,846","$124,057"
"Tuna, bigeye",,,,,"4,002",,"63,835","98,608",570
"",,,,,"$18,009",,"$109,431","$221,186","$1,041"
"Tuna, bluefin","5,614","14,057","1,605","28,568","47,203","9,808","3,860","4,837,781","9,634"
"","$13,026","$26,108","$1,556","$62,676","$96,335","$16,857","$6,753","$2,450,798","$14,872"
"Tuna, skipjack",448,,,19,"2,063",,50,"13,010,078","374,427"
"",$224,,,$8,$635,,$100,"$5,345,034","$210,802"
"Tuna, skipjack, black",,,,,,"2,905",,"86,534","2,428"
"",,,,,,$654,,"$19,470",$546
"Tuna, unspecified",,,,130,911,,"2,213","19,985",130
"",,,,$85,$796,,"$3,706","$14,304",$169
"Tuna, yellowfin",,,,81,"2,624",267,"3,104","10,238,474","280,273"
"",,,,$131,"$5,592",$334,"$3,473","$4,728,791","$287,810"
Turbot,"16,298",20,,"3,720",54,760,,53,
"","$5,574",$7,,"$1,235",$18,$314,,$53,
"Turbot, curlfin",,,,,,,,5,
"",,,,,,,,$2,
Wahoo,,,,,,,,"15,168","1,080"
"",,,,,,,,"$8,473",$216
"Whitefish, ocean",,,,,,207,"18,564","1,249","1,212"
"",,,,,,$201,"$14,394","$1,013",$867
"Whiting, Pacific","14,026,328",,,,,,236,"1,261",366
"","$605,570",,,,,,$67,"$1,377",$210
Yellowtail,,,,,,,"1,722","57,262","14,444"
"",,,,,,,"$2,304","$58,775","$17,927"
Table 5k (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
Zebraperch,,,,,,,,"1,060",
"",,,,,,,,$795,
"",,,,,,,,,
Rockfish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Rockfish, aurora",,,,,7,,90,,
"",,,,,$2,,$113,,
"Rockfish, bank",,,"1,101","44,318",290,"35,010",727,,20
"",,,$551,"$16,016",$110,"$16,455",$823,,$20
"Rockfish, black","205,285","31,041","1,268","30,707",677,354,,,
"","$119,759","$16,798",$523,"$17,815",$488,$160,,,
"Rockfish, black-and-yellow",,888,1,,,,,,
"",,"$3,062",$3,,,,,,
"Rockfish, blackgill","1,237","4,272","7,915","25,981","53,532","117,637","107,972","68,631","27,069"
"","$1,113","$3,135","$3,937","$10,058","$32,800","$42,516","$98,710","$60,149","$25,821"
"Rockfish, blue","41,031","7,762","5,241","10,623","13,222","7,749",554,,
"","$25,890","$4,224","$1,738","$7,683","$6,197","$3,743",$226,,
"Rockfish, bocaccio","21,226","74,800","77,997","120,264","149,880","94,065","27,610","22,883","11,248"
"","$9,801","$26,055","$36,199","$48,484","$56,427","$37,219","$14,573","$21,895","$10,440"
"Rockfish, bronzespotted",,,,,16,,,,
"",,,,,$7,,,,
"Rockfish, brown","1,624",27,28,"2,335","2,597",,,,
"","$1,874",$43,$68,$782,$602,,,,
"Rockfish, canary","198,813","159,016","17,791","94,341","7,669",43,,,
"","$110,828","$103,228","$12,026","$89,805","$5,871",$32,,,
"Rockfish, chilipepper","40,209","39,290","547,507","769,127","1,067,495","323,463","12,977","2,312",556
"","$24,241","$16,745","$273,542","$309,488","$448,824","$156,956","$6,634","$2,084",$620
"Rockfish, China","8,198","27,643",469,"6,906","3,412",977,53,,
"","$19,276","$62,381","$1,385","$14,645","$5,840","$2,438",$295,,
"Rockfish, copper","17,480","48,623",912,"22,966","1,878",526,"7,907",164,
"","$19,416","$42,225","$1,332","$40,222","$2,225",$937,"$11,884",$164,
"Rockfish, copper (whitebelly)",,,,,,,,597,
"",,,,,,,,$612,
"Rockfish, cowcod",,100,,"4,813","1,409","2,106","6,763","5,810",624
"",,$108,,"$1,835",$720,"$2,266","$8,994","$8,603",$793
"Rockfish, darkblotched",505,1,,"25,007",,,,,
"",$304,$1,,"$9,503",,,,,
Table 5k (continued) Rockfish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Rockfish, flag",,,,,130,,,,
"",,,,,$52,,,,
"Rockfish, gopher",131,"8,213",308,"1,664","1,870",54,"6,656",276,236
"",$184,"$28,946",$915,"$2,635","$1,120",$133,"$14,084",$230,$236
"Rockfish, grass","1,749","26,047","3,443","2,410","1,125","41,091","11,964",,
"","$6,647","$114,318","$14,472","$5,660","$4,809","$198,657","$64,022",,
"Rockfish, greenspotted",378,"26,011",,"7,403","10,517",151,319,,
"",$354,"$23,451",,"$3,186","$4,913",$148,$520,,
"Rockfish, greenstriped",240,,,367,"1,153",15,20,114,
"",$65,,,$77,$303,$2,$15,$57,
"Rockfish, group black/blue","2,392",,"1,935","3,865",,,,,
"","$1,227",,$749,"$2,526",,,,,
"Rockfish, group bocaccio/chilipepper",,,,,,,,542,
"",,,,,,,,$325,
"Rockfish, group bolina",111,429,"19,139","82,070","2,577","21,072",622,,
"",$147,$566,"$30,535","$162,545","$4,091","$42,207","$1,639",,
"Rockfish, group canary/vermilion",58,,,,,,,,
"",$123,,,,,,,,
"Rockfish, group deepwater reds","4,332",,,,,,,,
"","$3,375",,,,,,,,
"Rockfish, group gopher",412,"4,707","7,778","10,003","18,687","96,233","3,974",,
"","$1,436","$16,253","$19,328","$18,056","$54,825","$235,601","$10,585",,
"Rockfish, group red","72,299","4,856","75,040","187,869","77,555","111,811","270,909","45,765","4,426"
"","$33,759","$5,854","$52,627","$91,449","$60,030","$170,646","$389,362","$61,742","$5,721"
"Rockfish, group rosefish",,"25,422",85,"314,658","277,289","156,029",,,
"",,"$6,054",$21,"$77,260","$71,783","$39,704",,,
"Rockfish, group small","345,655","643,093","164,139","97,230","162,139","74,417",726,,
"","$83,823","$150,986","$41,626","$30,084","$53,401","$23,352","$1,649",,
"Rockfish, kelp",,53,6,420,459,808,264,,
"",,$166,$16,$357,$337,$976,$251,,
"Rockfish, olive",,319,,,27,260,39,,
"",,"$1,442",,,$53,$128,$78,,
"Rockfish, pink",,,,,,2,,,
"",,,,,,$10,,,
"Rockfish, pinkrose",296,,,,,,,,
"",$118,,,,,,,,
"Rockfish, quillback","7,723","1,162",61,"11,732",61,,,,
"","$12,174","$1,533",$79,"$17,894",$85,,,,
Table 5k (continued) Rockfish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Rockfish, redbanded","1,447",33,,,,,,,
"","$1,314",$16,,,,,,,
"Rockfish, rosethorn",171,"17,138",80,235,"1,168",,,,
"",$98,"$6,585",$52,$205,$973,,,,
"Rockfish, shortbelly","1,753","26,413","14,479","2,243",,,,,
"",$263,"$3,428","$1,879",$257,,,,,
"Rockfish, speckled",,,,435,,2,,,18
"",,,,$326,,$1,,,$9
"Rockfish, splitnose",2,,,934,,,,,
"",$1,,,$234,,,,,
"Rockfish, starry",,,,145,,,,,3
"",,,,$167,,,,,$3
"Rockfish, swordspine",2,,,,,,,,
"",$1,,,,,,,,
"Rockfish, treefish",,,,,,60,"1,505",179,
"",,,,,,$143,"$2,314",$236,
"Rockfish, unspecified","463,581","1,759,772","341,442","764,598","158,506","182,123","103,677","34,499","51,674"
"","$179,542","$628,265","$133,939","$325,117","$80,325","$110,622","$109,574","$44,924","$46,157"
"Rockfish, vermilion","7,657","9,682","2,906","5,076","6,543",71,3,,84
"","$7,722","$9,962","$1,930","$4,855","$6,772",$134,$3,,$82
"Rockfish, widow","1,081,269","703,544","469,780","399,515","177,367","250,492","6,263",37,
"","$354,313","$219,765","$156,794","$141,685","$61,437","$99,316","$2,818",$74,
"Rockfish, yelloweye","15,616","65,022","1,175","6,162","4,253",,21,,
"","$22,802","$82,632",$946,"$6,577","$4,990",,$39,,
"Rockfish, yellowtail","182,672","121,715","95,378","117,081","21,899","4,812","3,393",762,
"","$79,657","$53,471","$51,732","$73,004","$11,422","$2,851","$1,357",$775,
"",,,,,,,,,
Crustaceans:,,,,,,,,,
"Crab, box",,,"3,625",941,,,391,587,
"",,,"$2,984",$725,,,$781,"$1,215",
"Crab, brown rock",,,"2,803",,,494,680,,
"",,,"$1,551",,,$420,$680,,
"Crab, claws",,,,,,256,"3,521",991,191
"",,,,,,$306,"$3,426",$977,$370
"Crab, Dungeness","6,387,578","972,576","796,654","1,690,124","54,735","9,717",750,14,
"","$11,058,982","$1,754,718","$1,833,269","$3,837,655","$159,605","$37,546","$2,250",$28,
Table 5k (continued) Crustaceans:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Crab, king",,,,,,4,18,,
"",,,,,,$8,$36,,
"Crab, red rock",,,"3,405",,,"9,607","7,389",,300
"",,,"$3,710",,,"$10,261","$7,568",,$300
"Crab, rock unspecified","12,193",,"87,499","60,426","14,266","163,600","597,594","123,129","122,444"
"","$15,647",,"$97,632","$56,390","$17,780","$190,957","$708,338","$156,420","$125,720"
"Crab, sand",,10,,206,,,,,
"",,$14,,$412,,,,,
"Crab, spider",,,35,,184,"1,421","51,380","37,691","5,090"
"",,,$26,,$184,"$1,082","$47,919","$34,376","$2,694"
"Crab, tanner","37,051",,,,,,,,
"","$26,706",,,,,,,,
"Crab, yellow rock",,,,,,694,"89,497",8,728
"",,,,,,$941,"$97,302",$9,$761
"Crustacean, unspecified",20,,,,,,,,
"",$9,,,,,,,,
"Lobster, California spiny",,,,,,45,"288,224","292,611","333,345"
"",,,,,,$334,"$2,341,021","$2,167,907","$2,284,755"
"Prawn, ridgeback",114,,,,,"1,154","375,726","10,555",
"",$342,,,,,"$1,731","$679,582","$15,061",
"Prawn, spot","7,364","18,320","49,790","155,450","79,814","138,233","214,521","61,339","36,773"
"","$42,284","$123,530","$300,632","$967,544","$528,576","$939,192","$1,465,724","$443,021","$229,150"
"Shrimp, bay",100,,"4,422","64,709",,,,,
"",$166,,"$26,255","$293,794",,,,,
"Shrimp, brine",,,,"1,549,088",,,,,"29,280"
"",,,,"$1,037,889",,,,,"$19,618"
"Shrimp, coonstriped","79,170",,,3,,,,,
"","$297,404",,,$6,,,,,
"Shrimp, ghost",,,,,,,,,825
"",,,,,,,,,"$12,163"
"Shrimp, Pacific Ocean","12,371,073","971,112","36,471","6,422",40,"605,199","11,323",,
"","$4,684,449","$369,315","$15,761","$2,248",$8,"$280,759","$10,787",,
"Shrimp, red rock",,,,,,,,15,
"",,,,,,,,$150,
"Shrimp, unspecified",,,"11,813",,,,204,435,
"",,,"$5,907",,,,"$1,632",$788,
Table 5k (continued) Echinoderms:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Echinoderm, unspecified",,,,,,,,228,
"",,,,,,,,"$1,140",
"Sea cucumber, unspecified",,446,,,94,2,"394,395","30,945","26,758"
"",,$407,,,$46,$2,"$190,253","$18,930","$13,200"
Sea stars,,,,,,,,486,
"",,,,,,,,$642,
"Urchin, purple sea",,"110,734","5,053",,,,359,"14,408",392
"",,"$110,913","$11,935",,,,$379,"$22,581",$238
"Urchin, red","63,624","3,600,310","844,533","40,430",,"4,256","8,312,521","4,236,166","919,135"
"","$33,281","$3,054,096","$660,919","$28,480",,"$2,817","$7,172,165","$3,330,734","$854,684"
"Urchin, white",,,,,,,,"6,457",
"",,,,,,,,"$32,640",
"",,,,,,,,,
Mollusks:,,,,,,,,,
"Abalone, red",,,62,"39,113",,,"73,040",,109
"",,,$587,"$370,118",,,"$690,823",,"$1,019"
"Chiton, unspecified","2,595",,,,,,,,
"",$623,,,,,,,,
"Clam, California jackknife",,,,,,,,"2,676",
"",,,,,,,,"$4,044",
"Clam, gaper",,,9,,,,,,
"",,,$8,,,,,,
"Limpet, unspecified",,,,,99,,,885,
"",,,,,$104,,,"$5,310",
Mussel,,,,100,,,250,"8,340",
"",,,,$50,,,$199,"$6,664",
"Octopus, unspecified","18,866","8,526","1,715","4,103",430,148,817,"2,831",131
"","$9,389","$4,308","$1,601","$3,147",$379,$130,$797,"$3,423",$71
"Oyster, unspecified",,,,,41,,,,
"",,,,,$21,,,,
"Scallop, rock",,,,,,,6,,
"",,,,,,,$3,,
Sea hare,,,,,,,,"6,878",60
"",,,,,,,,"$50,602",$360
Sea slug,,,,,,1,,23,
"",,,,,,$35,,$805,
Table 5k (continued) Mollusks:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Snail, bubble",,,,,,,,548,
"",,,,,,,,"$5,474",
"Snail, sea",,,496,,,413,209,"2,134",379
"",,,$372,,,$310,$105,$747,$117
"Snail, top",,,,610,,,164,,"2,907"
"",,,,$458,,,$123,,"$1,383"
"Snails, moon",,,,,,39,,31,
"",,,,,,$20,,$16,
"Squid, jumbo",,,,"1,149",,,,"10,349",661
"",,,,$675,,,,"$4,598",$343
"Squid, market","8,386",,112,"450,837","18,260,453",62,"97,125,258","39,323,586","5,734"
"","$2,202",,$56,"$69,334","$2,863,329",$13,"$11,820,080","$5,855,250",$719
"Whelk, Kellet's",,,,,,151,"12,138","5,958",206
"",,,,,,$74,"$4,836","$2,836",$103
"",,,,,,,,,
Plants:,,,,,,,,,
"Algae, marine",,,,,,,,27,
"",,,,,,,,$10,
Kelp,,,,,,2,,"1,107",
"",,,,,,$2,,"$1,334",
"",,,,,,,,,
Miscellaneous:,,,,,,,,,
"Invertebrates, colonial",,,192,,,,,"1,752",
"",,,"$2,500",,,,,"$3,670",
Tunicates,,,,,,,,128,
"",,,,,,,,$311,
"Worms, marine",,,,,,,,"1,167",
"",,,,,,,,$700,
Unspecified species,"3,006","15,522",8,813,"5,993",,258,"98,943",46
"","$2,437","$6,115",$6,"$2,110","$1,452",,$129,"$100,230",$46
"",,,,,,,,,
Total pounds,"53,413,964","16,126,770","6,504,976","36,366,851","77,422,739","8,016,454","120,802,542","170,352,186","3,548,357"
Total ex-vessel value (dollars),"$28,526,816","$11,622,475","$5,807,433","$31,598,033","$16,874,839","$6,667,581","$29,321,330","$35,079,278","$6,736,654"
Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Anchovy, deepbody",,,,250,,,,400,
"",,,,$3,,,,$4,
"Anchovy, northern",,,,"1,000","1,986,679",,"474,742","745,046","5,078"
"",,,,$20,"$52,643",,"$79,054","$39,875","$1,023"
"Barracuda, California",,,,131,85,"1,361","2,219","118,183","9,152"
"",,,,$126,$65,$967,"$2,206","$66,623","$6,583"
"Bass, giant sea",,,,,,21,"2,803","3,056",358
"",,,,,,$46,"$5,124","$4,668",$577
"Bass, kelp",,,,,,,2,,
"",,,,,,,$1,,
Blacksmith,274,,,,,,,74,
"",$345,,,,,,,$93,
"Bonito, Pacific",,,,14,"1,853","1,376","335,991","2,147,843","8,089"
"",,,,$18,$570,$637,"$81,547","$573,878","$4,889"
Butterfish (Pacific pompano),,,,30,132,1,"1,896",132,
"",,,,$18,$237,$1,"$1,185",$89,
Cabezon,"16,367","52,231","26,639","19,837","51,276","168,426","37,463",500,22
"","$33,128","$151,840","$70,588","$57,964","$158,267","$602,610","$156,414","$1,053",$59
"Cabrilla, spotted",,,,16,,,,,
"",,,,$18,,,,,
"Cod, Pacific",47,,,,,,,,
"",$21,,,,,,,,
"Corvina, shortfin",,,,,,,,,"2,131"
"",,,,,,,,,"$2,126"
"Croaker, black",,,,,,,,29,
"",,,,,,,,$40,
"Croaker, unspecified",,,100,274,,,,,
"",,,$55,$151,,,,,
"Croaker, white",,,248,"72,180","19,844",65,"5,408","44,302",394
"",,,$78,"$55,489","$8,561",$83,"$3,508","$33,578",$261
Dolphin (fish),,,,383,"1,172",,402,642,"4,371"
"",,,,$277,"$2,173",,$592,$666,"$6,576"
Eel,,,,33,,,11,7,164
"",,,,$72,,,$30,$1,$492
Table 5l (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Eel, California moray",,,,,,,249,487,"3,990"
"",,,,,,,$939,"$2,085","$10,612"
"Eel, spotted cusk-",,,,,1,,,,
"",,,,,$1,,,,
"Eel, wolf (wolf-eel)",,10,4,,,7,,,
"",,$7,$2,,,$6,,,
Escolar,,,,"3,136",136,23,542,892,643
"",,,,"$3,307",$171,$46,"$1,084",$892,"$1,286"
"Fish, unspecified","1,092",169,186,839,100,500,"1,412",372,5
"",$916,$152,$125,$610,$149,$350,"$1,604",$222,$3
"Flounder, arrowtooth","80,455",63,,"1,549",30,12,,,
"","$9,136",$6,,$692,$12,$2,,,
"Flounder, starry","39,807",,"2,044","50,949","6,478","1,024",,,
"","$15,897",,"$1,123","$22,436","$3,247","$1,532",,,
"Flounder, unspecified",,7,"1,270","27,180","3,395","3,095",10,13,
"",,$13,$524,"$12,559","$1,560","$3,596",$5,$26,
Flyingfish,,,,,,,,6,
"",,,,,,,,$9,
"Goby, yellowfin",,,370,361,,,,,
"",,,"$1,295","$1,083",,,,,
"Greenling, kelp","1,983","5,983","1,129",856,"2,809","1,417",,,
"","$6,780","$20,764","$2,933","$2,266","$11,676","$6,349",,,
Grenadiers,"188,435","331,373","48,978","9,610","513,561","20,357",2,,
"","$28,038","$49,527","$7,170","$1,415","$66,199","$3,142",$0.3,,
"Guitarfish, shovelnose",,,,,,572,"16,716","13,496",387
"",,,,,,$253,"$9,776","$4,157",$183
Hagfish,,,,53,,,,,470
"",,,,$80,,,,,"$2,233"
Halfmoon,,,,,,,18,25,
"",,,,,,,$15,$24,
"Halibut, California","28,145",87,"25,446","528,943","98,672","117,488","211,652","143,947","33,122"
"","$56,278",$261,"$52,693","$1,149,585","$185,629","$263,800","$579,143","$441,341","$85,300"
"Halibut, Pacific",477,"5,836",,,,,,,
"",$789,"$10,192",,,,,,,
"Halibut, unspecified",,,,"13,263",,,9,,
"",,,,"$30,008",,,$21,,
Herring roe on kelp,"2,195","5,858","1,516","72,842",,,,,
"","$4,901","$10,252","$3,782","$121,268",,,,,
Table 5l (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Herring, Pacific",,,,250,,,,,
"",,,,$3,,,,,
"Herring, roe","49,139",,"11,846","4,368,258",,,,,
"","$9,080",,"$6,870","$546,314",,,,,
"Herring, round",,,,,,,,"15,487",
"",,,,,,,,$720,
"Jack, Pacific crevalle",,,146,,,,,185,
"",,,$146,,,,,$185,
Jacksmelt,84,,14,140,"1,530",,,769,
"",$46,,$7,$127,$982,,,$309,
"Kelpfish, giant",,,,,,27,,,
"",,,,,,$50,,,
Kelpfishes,,,,52,,,,,
"",,,,$180,,,,,
Lingcod,"117,472","60,138","18,927","64,091","28,681","28,317","10,637","2,615",368
"","$84,052","$48,723","$15,323","$62,194","$23,366","$25,698","$11,060","$2,856",$469
"Lizardfish, California",,,,,121,,,"1,657",
"",,,,,$67,,,$497,
Louvar,602,88,,894,"1,024",891,628,"2,029","5,046"
"","$1,045",$308,,"$2,904","$3,716","$2,917","$2,156","$6,900","$21,506"
"Mackerel, bullet",,,29,,"3,932",3,,"48,104",
"",,,$29,,$557,$3,,"$12,026",
"Mackerel, jack","13,748",,127,"2,505","71,660",44,,"1,727,695",
"","$2,750",,$39,$761,"$18,574",$99,,"$237,228",
"Mackerel, Pacific","20,067",252,"3,083","5,324","3,211,495",582,"2,878,705","39,001,589","106,052"
"","$2,707",$14,"$1,140","$2,398","$135,837",$147,"$68,658","$2,282,748","$8,412"
"Midshipman, plainfin",,,,,,,60,,
"",,,,,,,$30,,
"Mullet, striped",,,,,,,,139,964
"",,,,,,,,$139,$707
Oilfish,,,,190,508,,,69,
"",,,,$227,$745,,,$69,
Opah,"3,630",152,"1,071","5,720","28,943","14,709","15,044","92,129","87,646"
"","$1,296",$76,$500,"$2,722","$10,011","$5,929","$7,596","$33,849","$36,096"
Opaleye,,,,,5,26,49,"1,544",94
"",,,,,$25,$35,$66,"$1,676",$188
"Prickleback, monkeyface",,,,163,12,46,4,,
"",,,,$479,$44,$115,$4,,
Table 5l (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
Queenfish,,,,,13,,,115,
"",,,,,$3,,,$345,
"Ratfish, spotted",,,30,,,,64,,
"",,,$13,,,,$27,,
"Ray, bat",,,,,48,,"3,829","3,058",
"",,,,,$48,,"$1,416","$1,101",
"Ray, Pacific electric",,,,,,,650,97,
"",,,,,,,"$1,640","$1,940",
"Ray, unspecified",17,,37,124,,,209,"2,076",
"",$10,,$66,$50,,,"$9,405",$554,
Sablefish,"1,352,871","475,798","75,095","249,257","531,953","262,051","62,140","90,213","67,994"
"","$1,471,658","$546,636","$83,040","$237,425","$509,988","$207,020","$73,906","$147,373","$113,245"
Salmon,,,"1,073",306,451,423,28,,
"",,,"$3,466",$758,"$1,389","$1,154",$86,,
"Salmon, Chinook","25,480","45,255","159,345","905,991","425,559","243,512","39,066",469,
"","$49,911","$95,557","$346,371","$1,499,111","$606,220","$367,736","$70,301",$985,
"Salmon, coho",,,102,,,,,,
"",,,$177,,,,,,
"Salmon, roe (Chinook and coho)",,6,253,32,,,,,
"",,$6,$255,$64,,,,,
Sanddab,"107,747","7,546",740,"653,643","632,770","25,346","2,733","3,740",715
"","$34,426","$2,415",$234,"$231,084","$175,407","$6,337","$2,229","$11,762","$1,113"
"Sanddab, Pacific",,,,,,"2,557",198,,
"",,,,,,$639,$546,,
"Sanddab, speckled",,,231,,,,,,
"",,,$74,,,,,,
"Sardine, Pacific","46,104",,"2,026","1,019,879","22,065,923",50,"1,956,721","69,159,313","450,702"
"","$20,747",,$608,"$30,766","$622,738",$2,"$92,426","$2,829,512","$20,140"
Sargo,,,,,,,,51,
"",,,,,,,,$54,
"Scorpionfish, California",,,,10,,56,"12,239","96,378","4,141"
"",,,,$35,,$56,"$19,069","$163,907","$7,200"
"Sculpin, staghorn",,,"2,216",882,,,,,
"",,,"$2,096","$2,705",,,,,
"Seabass, white",,,,"2,143","2,365","27,322","38,122","90,362","4,101"
"",,,,"$5,846","$4,551","$58,122","$70,961","$165,670","$9,325"
"Shad, American",27,,,770,,,,,
"",$27,,,$776,,,,,
Table 5l (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Shad, threadfin",,,,"53,483",,,493,,
"",,,,"$73,530",,,$740,,
"Shark, bigeye thresher","3,018",,,256,,,,"2,415","8,409"
"","$3,992",,,$186,,,,"$2,132","$3,462"
"Shark, blue",,,,90,,,573,407,
"",,,,$9,,,$274,$102,
"Shark, brown smoothhound",130,,,,,,"1,971","1,832","1,087"
"",$99,,,,,,"$1,143","$2,035",$528
"Shark, gray smoothhound",,,,,,,,83,
"",,,,,,,,$78,
"Shark, leopard",840,,695,"6,188","2,106",99,"7,413","6,840","2,039"
"",$840,,$584,"$5,616","$2,202",$52,"$6,348","$6,689","$1,992"
"Shark, Pacific angel",,,,32,504,"5,279","47,229","1,783",515
"",,,,$30,$290,"$3,609","$46,351","$1,092",$356
"Shark, pelagic thresher",,,20,,"1,573",,,118,623
"",,,$50,,"$2,008",,,$94,$513
"Shark, salmon",,,,,,126,,,
"",,,,,,$139,,,
"Shark, sevengill",,,,,,,28,2,
"",,,,,,,$17,$5,
"Shark, shortfin mako","5,158","1,093",165,"3,583","18,954","9,084","15,328","34,406","63,645"
"","$6,510","$1,069",$206,"$3,509","$19,719","$10,072","$21,100","$37,738","$73,621"
"Shark, sixgill",161,,,29,,,,,
"",$97,,,$71,,,,,
"Shark, smooth hammerhead",,,,,,,165,333,"1,305"
"",,,,,,,$107,$333,$718
"Shark, soupfin","1,541","1,251","4,861","6,001","13,871","5,991","14,543","15,506","14,965"
"","$1,499","$1,149","$3,110","$4,970","$9,547","$2,615","$11,755","$13,666","$17,449"
"Shark, spiny dogfish","1,405",,,"1,037",47,"6,926",990,"4,591",
"",$619,,,$488,$59,"$1,771",$990,"$3,165",
"Shark, swell",,,,,,,50,,
"",,,,,,,$50,,
"Shark, thresher","22,233","1,411",,"13,467","41,607","34,011","97,710","98,361","150,637"
"","$23,127","$1,411",,"$15,658","$53,913","$41,528","$135,566","$124,694","$209,075"
"Shark, unspecified",894,,153,"4,334","2,463",,"2,574","1,379",
"",$630,,$114,"$4,479","$1,309",,"$1,939","$2,021",
"Shark, white",,,,,55,,21,60,
"",,,,,$96,,$21,$93,
Table 5l (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Sheephead, California",93,53,,,222,"3,072","137,540","81,771","38,890"
"",$139,$66,,,$283,"$5,685","$347,712","$220,629","$116,140"
Silversides,,,,34,,,,,
"",,,,$17,,,,,
"Skate, big","3,592",,,,,,,,
"",$647,,,,,,,,
